District Number,District Name,School Number,School Name,Grade,Group,2014 Total Tested,2014 n Unsatisfactory,2014 % Unsatisfactory,2014 n Partially Proficient,2014 % Partially Proficient,2014 n Proficient,2014 % Proficient,2014 n Advanced,2014 % Advanced,2014 % Proficient and Advanced,2014 n No Score,2014 % No Score
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HS,9,F,260,56,21.5,68,26.2,91,35.0,43,16.5,51.5,2,0.8
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HS,9,M,264,71,26.9,82,31.1,72,27.3,39,14.8,42.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HS,10,F,250,45,18.0,110,44.0,88,35.2,5,2.0,37.2,2,0.8
0020,ADAMS 12 FIVE STAR SCHOOLS,4108,HORIZON HS,10,M,258,46,17.8,104,40.3,92,35.7,14,5.4,41.1,2,0.8
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,3,F,43,0,0.0,0,0.0,12,27.9,31,72.1,100.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,3,M,29,0,0.0,0,0.0,11,37.9,18,62.1,100.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,4,F,41,0,0.0,2,4.9,6,14.6,33,80.5,95.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,4,M,52,0,0.0,1,1.9,12,23.1,39,75.0,98.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,5,F,55,0,0.0,1,1.8,11,20.0,43,78.2,98.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,5,M,50,0,0.0,1,2.0,3,6.0,46,92.0,98.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,6,F,38,0,0.0,1,2.6,6,15.8,31,81.6,97.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,6,M,50,0,0.0,2,4.0,12,24.0,36,72.0,96.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,7,F,34,1,2.9,2,5.9,9,26.5,22,64.7,91.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,7,M,33,0,0.0,1,3.0,12,36.4,20,60.6,97.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,8,F,38,1,2.6,3,7.9,7,18.4,27,71.1,89.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4172,HULSTROM KE,8,M,32,1,3.1,1,3.1,12,37.5,18,56.3,93.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,6,F,184,23,12.5,64,34.8,63,34.2,32,17.4,51.6,2,1.1
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,6,M,176,29,16.5,49,27.8,67,38.1,31,17.6,55.7,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,7,F,165,27,16.4,55,33.3,49,29.7,30,18.2,47.9,4,2.4
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,7,M,189,38,20.1,56,29.6,51,27.0,44,23.3,50.3,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,8,F,165,24,14.5,65,39.4,41,24.8,35,21.2,46.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,4187,SILVER HILLS,8,M,200,46,23.0,68,34.0,52,26.0,30,15.0,41.0,4,2.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH,9,F,298,49,16.4,68,22.8,87,29.2,84,28.2,57.4,10,3.4
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH,9,M,286,34,11.9,64,22.4,79,27.6,103,36.0,63.6,6,2.1
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH,10,F,266,28,10.5,99,37.2,106,39.8,30,11.3,51.1,3,1.1
0020,ADAMS 12 FIVE STAR SCHOOLS,5043,LEGACY HIGH,10,M,294,36,12.2,84,28.6,108,36.7,54,18.4,55.1,12,4.1
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,3,F,35,6,17.1,6,17.1,10,28.6,13,37.1,65.7,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,3,M,44,9,20.5,11,25.0,17,38.6,7,15.9,54.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,4,F,26,5,19.2,11,42.3,7,26.9,3,11.5,38.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,4,M,35,6,17.1,7,20.0,14,40.0,8,22.9,62.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,5,F,22,3,13.6,4,18.2,9,40.9,6,27.3,68.2,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5058,LEROY DRIVE E,5,M,47,8,17.0,19,40.4,16,34.0,4,8.5,42.6,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,3,F,34,11,32.4,14,41.2,9,26.5,0,0.0,26.5,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,3,M,37,8,21.6,12,32.4,12,32.4,5,13.5,45.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,4,F,25,0,0.0,13,52.0,9,36.0,3,12.0,48.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,4,M,35,4,11.4,7,20.0,21,60.0,3,8.6,68.6,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,5,F,36,7,19.4,15,41.7,10,27.8,4,11.1,38.9,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5418,MALLEY DRIVE,5,M,36,7,19.4,10,27.8,15,41.7,4,11.1,52.8,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,3,F,40,10,25.0,14,35.0,12,30.0,4,10.0,40.0,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,3,M,33,15,45.5,7,21.2,8,24.2,3,9.1,33.3,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,4,F,36,7,19.4,16,44.4,13,36.1,0,0.0,36.1,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,4,M,33,7,21.2,12,36.4,13,39.4,1,3.0,42.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,5,F,35,7,20.0,10,28.6,14,40.0,4,11.4,51.4,0,0.0
0020,ADAMS 12 FIVE STAR SCHOOLS,5706,MC ELWAIN ES,5,M,32,5,15.6,16,50.0,8,25.0,3,9.4,34.4,0,0.0
